Rank,Release Group,Worldwide,Domestic,%,Foreign,%
333,Mera Pind: My Home,"$630,370","$176,976",28.1%,"$453,394",71.9%
334,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,"$603,894","$603,894",100%,-,-
335,My Father My Lord,"$571,566","$203,708",35.6%,"$367,858",64.4%
336,The Wedding Song,"$558,489","$31,160",5.6%,"$527,329",94.4%
337,Timecrimes,"$553,198","$39,127",7.1%,"$514,071",92.9%
338,Nobel Son,"$545,582","$540,382",99%,"$5,200",1%
339,Noah's Arc: Jumping the Broom,"$532,878","$532,878",100%,-,-
340,Everybody Wants to Be Italian,"$532,726","$351,416",66%,"$181,310",34%
341,Of Time and the City,"$523,417","$32,677",6.2%,"$490,740",93.8%
342,Trouble the Water,"$522,766","$520,151",99.5%,"$2,615",0.5%
343,Splinter,"$510,358","$14,154",2.8%,"$496,204",97.2%
344,The 2007 Academy Award Nominated Short Films: Live Action,"$508,695","$508,695",100%,-,-
345,The Other End of the Line,"$507,534","$115,592",22.8%,"$391,942",77.2%
346,The Stone Angel,"$473,993","$459,166",96.9%,"$14,827",3.1%
347,La ligne brisée,"$466,309","$466,309",100%,-,-
348,The Promotion,"$457,690","$408,709",89.3%,"$48,981",10.7%
349,Fear(s) of the Dark,"$450,813","$77,876",17.3%,"$372,937",82.7%
350,The Hammer,"$443,591","$443,591",100%,-,-
351,Santa vs. the Snowman 3D 2008 Re-release,"$438,385","$433,797",99%,"$4,588",1%
352,Snow Angels,"$414,404","$402,858",97.2%,"$11,546",2.8%
353,Mister Lonely,"$407,674","$167,396",41.1%,"$240,278",58.9%
354,The Signal,"$401,462","$251,150",62.6%,"$150,312",37.4%
355,While She Was Out,"$391,410",-,-,"$391,410",100%
356,Hell Ride,"$390,128","$213,608",54.8%,"$176,520",45.2%
357,The Escapist,"$388,174","$13,439",3.5%,"$374,735",96.5%
358,Everything Is Fine,"$373,360","$336,569",90.1%,"$36,791",9.9%
359,Filth and Wisdom,"$354,628","$22,406",6.3%,"$332,222",93.7%
360,Billy: The Early Years,"$347,328","$347,328",100%,-,-
361,Meet Bill,"$346,592","$62,597",18.1%,"$283,995",81.9%
362,Standard Operating Procedure,"$324,217","$229,117",70.7%,"$95,100",29.3%
363,Bigger Stronger Faster*,"$308,575","$308,575",100%,-,-
364,The Headless Woman,"$305,766","$100,177",32.8%,"$205,589",67.2%
365,Planet B-Boy,"$300,447","$273,870",91.2%,"$26,577",8.8%
366,Taxi to the Dark Side,"$294,309","$274,661",93.3%,"$19,648",6.7%
367,Surfwise,"$294,236","$269,994",91.8%,"$24,242",8.2%
368,Chaos Theory,"$289,458","$240,476",83.1%,"$48,982",16.9%
369,The Lucky Ones,"$287,567","$266,967",92.8%,"$20,600",7.2%
370,My Winnipeg,"$285,469","$159,363",55.8%,"$126,106",44.2%
371,Lola Montès,"$280,314","$120,306",42.9%,"$160,008",57.1%
372,Wonderful Town,"$277,233","$4,487",1.6%,"$272,746",98.4%
373,Morning Light,"$275,776","$275,497",99.9%,$279,0.1%
374,Harvard Beats Yale 29-29,"$268,431","$268,431",100%,-,-
375,Shoot on Sight,"$264,617",-,-,"$264,617",100%
376,The Secrets,"$264,006","$122,094",46.2%,"$141,912",53.8%
377,Beaufort,"$255,780","$102,591",40.1%,"$153,189",59.9%
378,The 13th Alley,"$250,992","$250,992",100%,-,-
379,Enlighten Up!,"$246,649","$246,649",100%,-,-
380,The Foot Fist Way,"$245,292","$234,286",95.5%,"$11,006",4.5%
381,The Legend of God's Gun,"$243,768","$243,768",100%,-,-
382,CSNY/Déjà Vu,"$232,260","$65,025",28%,"$167,235",72%
383,Miss Conception,"$228,928","$2,134",0.9%,"$226,794",99.1%
384,Sixty Six 2008 Re-release,"$224,614","$224,614",100%,-,-
385,Chop Shop,"$222,776","$125,045",56.1%,"$97,731",43.9%
386,The Song of Sparrows,"$220,360","$116,372",52.8%,"$103,988",47.2%
387,Chris & Don. A Love Story,"$216,110","$216,110",100%,-,-
388,How the Garcia Girls Spent Their Summer,"$215,303","$215,303",100%,-,-
389,Call + Response,"$215,185","$215,185",100%,-,-
390,Stranded: I've Come from a Plane That Crashed on the Mountains,"$210,754","$89,473",42.5%,"$121,281",57.5%
391,Sleepwalking,"$208,995","$170,392",81.5%,"$38,603",18.5%
392,Just Another Love Story 2008 Re-release,"$200,897","$45,835",22.8%,"$155,062",77.2%
393,La traviata,"$195,494","$195,494",100%,-,-
394,One Day You'll Understand,"$195,366","$145,642",74.5%,"$49,724",25.5%
395,The Princess of Nebraska,"$191,887",-,-,"$191,887",100%
396,Repo! The Genetic Opera,"$188,126","$146,750",78%,"$41,376",22%
397,Bustin' Down the Door,"$187,827","$109,427",58.3%,"$78,400",41.7%
398,Chapter 27,"$187,488","$56,215",30%,"$131,273",70%
399,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","$180,957","$21,152",11.7%,"$159,805",88.3%
400,Constantine's Sword,"$179,507","$179,507",100%,-,-
401,Chicago 10,"$177,490","$177,490",100%,-,-
402,My Name Is Bruce,"$173,066","$173,066",100%,-,-
403,Owl and the Sparrow,"$170,324","$47,071",27.6%,"$123,253",72.4%
404,Amusement,"$170,255",-,-,"$170,255",100%
405,Girls Rock!,"$159,294","$159,294",100%,-,-
406,Service,"$155,156","$64,536",41.6%,"$90,620",58.4%
407,Contempt 2008 Re-release,"$153,619","$153,619",100%,-,-
408,Stuck,"$151,449","$67,505",44.6%,"$83,944",55.4%
409,Sky Kids,"$144,680","$144,680",100%,-,-
410,Last Year at Marienbad,"$144,492","$144,492",100%,-,-
411,Shelter,"$142,666","$142,666",100%,-,-
412,Flow: For Love of Water,"$142,569","$142,569",100%,-,-
413,Baghead,"$140,106","$140,106",100%,-,-
414,Hounddog,"$131,961","$131,961",100%,-,-
415,Ballerina,"$131,460","$114,507",87.1%,"$16,953",12.9%
416,Proud American,"$131,357","$131,357",100%,-,-
417,Love Comes Lately,"$127,958","$78,079",61%,"$49,879",39%
418,The First Saturday in May,"$124,294","$124,294",100%,-,-
419,Were the World Mine,"$123,789","$123,789",100%,-,-
420,Momma's Man,"$123,385","$100,435",81.4%,"$22,950",18.6%
421,The Grand,"$115,879","$115,879",100%,-,-
422,Berlin,"$114,860","$33,231",28.9%,"$81,629",71.1%
423,Oh My God,"$113,792","$38,244",33.6%,"$75,548",66.4%
424,Absurdistan,"$113,269","$39,683",35%,"$73,586",65%
425,Trumbo,"$109,057","$109,057",100%,-,-
426,Sleep Dealer,"$107,559","$80,136",74.5%,"$27,423",25.5%
427,The Alphabet Killer,"$106,596","$29,784",27.9%,"$76,812",72.1%
428,A Jihad for Love,"$105,651","$105,651",100%,-,-
429,Another Gay Sequel: Gays Gone Wild!,"$104,828","$104,828",100%,-,-
430,Roman Polanski: Wanted and Desired,"$100,458","$59,192",58.9%,"$41,266",41.1%
431,Purple Noon,"$98,030",-,-,"$98,030",100%
432,Kabluey,"$96,663","$83,506",86.4%,"$13,157",13.6%
433,Louise Bourgeois,"$96,443","$95,865",99.4%,$578,0.6%
434,Greetings from the Shore,"$96,314","$96,314",100%,-,-
435,The Pool,"$95,102","$95,102",100%,-,-
436,Bicycle Thieves 2008 Re-release,"$94,685","$36,818",38.9%,"$57,867",61.1%
437,The Unforeseen,"$90,287","$90,287",100%,-,-
438,Pray the Devil Back to Hell,"$90,066","$90,066",100%,-,-
439,Little Chenier,"$87,939","$87,939",100%,-,-
440,Woman on the Beach 2008 Re-release,"$87,635","$23,686",27%,"$63,949",73%
441,Deal,"$85,076","$61,626",72.4%,"$23,450",27.6%
442,"Me & You, Us, Forever","$84,093","$84,093",100%,-,-
443,Save Me,"$83,397","$83,397",100%,-,-
444,Maria Stuarda at La Scala,"$83,214","$83,214",100%,-,-
445,Praying with Lior,"$82,553","$82,553",100%,-,-
446,Humboldt County,"$82,357","$82,357",100%,-,-
447,Patti Smith: Dream of Life,"$81,113","$30,918",38.1%,"$50,195",61.9%
448,Il trittico dell'amore,"$80,374","$80,374",100%,-,-
449,Ballast,"$79,710","$77,556",97.3%,"$2,154",2.7%
450,Cover,"$79,436","$79,436",100%,-,-
451,Ping Pong Playa,"$77,907","$77,907",100%,-,-
452,Finding Amanda,"$77,410","$57,297",74%,"$20,113",26%
453,America the Beautiful,"$76,173","$76,173",100%,-,-
454,August Evening,"$74,759","$74,759",100%,-,-
455,Shoot Down,"$74,421","$74,421",100%,-,-
456,A Four Letter Word,"$73,445","$72,568",98.8%,$877,1.2%
457,Body of War,"$71,716","$71,716",100%,-,-
458,Big Man Japan 2008 Re-release,"$70,681","$40,796",57.7%,"$29,885",42.3%
459,The Business of Being Born,"$69,991","$69,991",100%,-,-
460,Take Out,"$69,816","$69,816",100%,-,-
461,Dark Matter,"$69,379","$30,591",44.1%,"$38,788",55.9%
462,Happy Valley,"$67,665","$67,665",100%,-,-
463,Allah Made Me Funny: Live in Concert,"$66,903","$66,903",100%,-,-
464,The Wild Child,"$65,051","$65,051",100%,-,-
465,Expired,"$65,003","$29,796",45.8%,"$35,207",54.2%
466,Bloodline,"$64,698","$64,698",100%,-,-
467,Monsieur Verdoux,"$64,636","$64,636",100%,-,-
468,Beautiful Losers,"$64,064","$56,386",88%,"$7,678",12%
469,A Plumm Summer,"$63,521","$63,521",100%,-,-
470,The Order of Myths,"$62,645","$62,645",100%,-,-
471,The Elephant King,"$61,122","$22,251",36.4%,"$38,871",63.6%
472,Boogie Man: The Lee Atwater Story,"$60,332","$60,332",100%,-,-
473,What We Do Is Secret,"$58,776","$58,776",100%,-,-
474,Extreme Movie,"$54,822",-,-,"$54,822",100%
475,Ugly Me 2008 Re-release,"$53,250","$53,250",100%,-,-
476,La forza del destino,"$52,577","$52,577",100%,-,-
477,Dare Not Walk Alone,"$52,166","$52,166",100%,-,-
478,"Surfer, Dude","$52,132","$52,132",100%,-,-
479,Gunnin' for That #1 Spot,"$50,950","$50,804",99.7%,$146,0.3%
480,"Tristan und Isolde, Azione in tre atti","$50,172","$50,172",100%,-,-
481,Afterschool,"$49,971","$3,911",7.8%,"$46,060",92.2%
482,Ciao,"$49,494","$49,494",100%,-,-
483,La Rondine,"$49,088","$49,088",100%,-,-
484,Box Elder,"$48,996","$48,996",100%,-,-
485,Breakfast with Scot,"$46,060","$46,060",100%,-,-
486,Undoing,"$44,999","$44,999",100%,-,-
487,What Doesn't Kill You,"$44,872",-,-,"$44,872",100%
488,The Babysitters,"$44,852","$44,852",100%,-,-
489,All Roads Lead Home,"$43,907","$43,907",100%,-,-
490,The Tracey Fragments,"$42,318","$32,645",77.1%,"$9,673",22.9%
491,Thomas Kinkade's Christmas Cottage,"$41,724",-,-,"$41,724",100%
492,The Betrayal,"$41,271","$41,271",100%,-,-
493,I Can't Think Straight,"$40,945","$39,576",96.7%,"$1,369",3.3%
494,Moving Midway,"$40,864","$40,864",100%,-,-
495,The Dhamma Brothers,"$40,492","$40,492",100%,-,-
496,Good Dick,"$39,924","$27,595",69.1%,"$12,329",30.9%
497,Loins of Punjab Presents,"$39,891","$39,891",100%,-,-
498,Refusenik,"$39,456","$39,456",100%,-,-
499,Familiar Strangers,"$34,068","$34,068",100%,-,-
500,Glass: A Portrait of Philip in Twelve Parts,"$32,089","$20,018",62.4%,"$12,071",37.6%
501,Kiss the Bride,"$32,033","$32,033",100%,-,-
502,The Pleasure of Being Robbed,"$31,823","$10,687",33.6%,"$21,136",66.4%
503,Hats Off,"$31,272","$31,272",100%,-,-
504,The Exiles,"$30,945","$30,945",100%,-,-
505,Fighting for Life,"$30,606","$30,606",100%,-,-
506,Walking on Dead Fish,"$30,328","$30,328",100%,-,-
507,Runaways,"$30,032","$27,908",92.9%,"$2,124",7.1%
508,Don Carlo,"$27,834","$27,834",100%,-,-
509,Frontrunners,"$26,976","$26,976",100%,-,-
510,The Dukes,"$26,875","$26,875",100%,-,-
511,Vivre Sa Vie,"$24,517","$24,517",100%,-,-
512,On Broadway,"$23,968","$23,968",100%,-,-
513,Diminished Capacity,"$23,719","$21,659",91.3%,"$2,060",8.7%
514,The World Unseen,"$23,101","$17,808",77.1%,"$5,293",22.9%
515,Lovesickness,"$22,000","$22,000",100%,-,-
516,Garden Party,"$21,886","$21,886",100%,-,-
517,The Matador,"$21,816","$21,816",100%,-,-
518,Antarctica,"$21,679","$21,679",100%,-,-
519,The Cry,"$21,427","$21,427",100%,-,-
520,Shoot the Piano Player,"$20,615","$20,615",100%,-,-
521,The First Basket,"$20,440","$20,440",100%,-,-
522,Trying to Get Good: The Jazz Odyssey of Jack Sheldon,"$19,712","$19,712",100%,-,-
523,Beauty in Trouble 2008 Re-release,"$19,300","$19,300",100%,-,-
524,Saving Marriage,"$18,720","$18,720",100%,-,-
525,"Live Fast, Die Young","$18,335","$18,335",100%,-,-
526,Dear Zachary: A Letter to a Son About His Father,"$18,334","$18,334",100%,-,-
527,Baby Blues,"$17,234","$17,234",100%,-,-
528,Noise,"$16,934","$16,513",97.5%,$421,2.5%
529,Dark Streets,"$16,815","$16,815",100%,-,-
530,Holding Trevor,"$16,814","$16,814",100%,-,-
531,Day Zero,"$16,659","$16,659",100%,-,-
532,Red,"$15,617","$4,643",29.7%,"$10,974",70.3%
533,Eden,"$15,611","$15,611",100%,-,-
534,Six in Paris,"$15,532","$15,532",100%,-,-
535,The Beautiful Truth,"$15,387","$15,387",100%,-,-
536,No Regret 2008 Re-release,"$15,347","$15,347",100%,-,-
537,Cthulhu,"$15,213","$15,213",100%,-,-
538,All Hat,"$15,198","$15,198",100%,-,-
539,YPF,"$14,459","$9,359",64.7%,"$5,100",35.3%
540,It Always Rains on Sunday,"$14,276","$14,276",100%,-,-
541,Military Intelligence and You!,"$14,251","$14,251",100%,-,-
542,Ripple Effect,"$14,059","$14,059",100%,-,-
543,Full Grown Men,"$13,716","$13,716",100%,-,-
544,Written on the Wind,"$13,495",-,-,"$13,495",100%
545,Kicking It,"$13,266","$13,266",100%,-,-
546,Harold,"$13,229","$13,229",100%,-,-
547,J'entends plus la guitare,"$12,876","$12,876",100%,-,-
548,Lake City,"$12,767","$12,767",100%,-,-
549,August,"$12,636","$12,636",100%,-,-
550,Jake's Corner,"$12,522","$12,522",100%,-,-
551,Backseat,"$12,343","$12,343",100%,-,-
552,Full Battle Rattle,"$12,306","$12,306",100%,-,-
553,Last Stop for Paul,"$11,951","$11,951",100%,-,-
554,The Go-Getter,"$11,931","$11,931",100%,-,-
555,Quid Pro Quo,"$11,864","$11,864",100%,-,-
556,Operation Filmmaker,"$11,573","$11,573",100%,-,-
557,Sputnik Fever,"$11,441","$11,441",100%,-,-
558,Gardens of the Night,"$11,436","$11,436",100%,-,-
559,"Otto; or, Up with Dead People","$11,295","$11,295",100%,-,-
560,Whaledreamers,"$10,584","$10,584",100%,-,-
561,As It Is in Heaven 2008 Re-release,"$10,236","$10,236",100%,-,-
562,Broken Arrow,"$10,145",-,-,"$10,145",100%
563,Tru Loved,"$9,467","$9,467",100%,-,-
564,As Tears Go By,"$9,436","$9,436",100%,-,-
565,Without the King,"$8,663","$8,663",100%,-,-
566,Amexicano,"$8,655","$8,655",100%,-,-
567,A Good Day to Be Black & Sexy,"$8,629","$8,629",100%,-,-
568,Stealing America: Vote by Vote,"$8,350","$8,350",100%,-,-
569,A Walk to Beautiful,"$7,718","$7,718",100%,-,-
570,The Amazing Truth About Queen Raquela,"$7,328","$5,597",76.4%,"$1,731",23.6%
571,Special 2008 Re-release,"$7,202","$7,202",100%,-,-
572,Take,"$6,627","$6,627",100%,-,-
573,Zardoz,"$6,320",-,-,"$6,320",100%
574,Heavy Metal in Baghdad,"$6,197","$4,070",65.7%,"$2,127",34.3%
575,On the Rumba River,"$6,021","$1,698",28.2%,"$4,323",71.8%
576,Choose Connor,"$5,788","$5,788",100%,-,-
577,Fraulein,"$5,715","$5,715",100%,-,-
578,Nights and Weekends,"$5,430","$5,430",100%,-,-
579,Dog Days of Summer,"$5,383","$5,383",100%,-,-
580,A Lawyer Walks Into a Bar...,"$5,202","$5,202",100%,-,-
581,Turn the River,"$5,149","$5,149",100%,-,-
582,God and Gays: Bridging the Gap,"$5,095","$5,095",100%,-,-
583,Tre,"$4,759","$4,759",100%,-,-
584,House of the Sleeping Beauties,"$4,509","$4,509",100%,-,-
585,Twisted: A Balloonamentary,"$4,218","$4,218",100%,-,-
586,Solar Flare,"$4,098","$4,098",100%,-,-
587,Where God Left His Shoes,"$3,911","$3,911",100%,-,-
588,A Bloody Aria 2008 Re-release,"$3,532",$518,14.7%,"$3,014",85.3%
589,American Zombie,"$3,126","$3,126",100%,-,-
590,Who Does She Think She Is?,"$3,081","$3,081",100%,-,-
591,Spiral,"$3,072","$3,072",100%,-,-
592,Run for Your Life,"$2,992","$2,992",100%,-,-
593,Wetlands Preserved: The Story of an Activist Nightclub,"$2,970","$2,970",100%,-,-
594,"On the Other Hand, Death","$2,892","$2,892",100%,-,-
595,Lower Learning,"$2,804","$2,804",100%,-,-
596,Polar Opposities,"$2,377","$2,377",100%,-,-
597,13 Months of Sunshine,"$2,337","$2,337",100%,-,-
598,Running with Arnold,"$2,119","$2,119",100%,-,-
599,Murder Dot Com,"$2,070","$2,070",100%,-,-
600,House of Usher,"$1,677","$1,677",100%,-,-
601,Ice Blues,"$1,377","$1,377",100%,-,-
602,Fall of Hyperion,"$1,093","$1,093",100%,-,-
603,Kiss Me Deadly,"$1,085","$1,085",100%,-,-
604,How to Rob a Bank (and 10 Tips to Actually Get Away with It),"$1,006","$1,006",100%,-,-
605,Beat the Drum,$895,-,-,$895,100%
606,Disfigured,$829,$829,100%,-,-
607,The Rise and Fall of Miss Thang,$581,$581,100%,-,-
608,Canary,$504,$504,100%,-,-
609,Rome & Jewel,$470,$470,100%,-,-
