Rank,Release Group,Worldwide,Domestic,%,Foreign,%
314,Bamako,"$1,059,232","$112,351",10.6%,"$946,881",89.4%
315,Conversations with God,"$1,021,803","$425,045",41.6%,"$596,758",58.4%
316,Jesus Camp,"$1,013,596","$902,544",89%,"$111,052",11%
317,Conversations with Other Women,"$973,525","$379,418",39%,"$594,107",61%
318,Chup Chup Ke,"$962,812","$334,618",34.8%,"$628,194",65.2%
319,Santa vs. the Snowman 3D 2006 Re-release,"$928,275","$928,275",100%,-,-
320,The Dead Girl,"$905,291","$19,875",2.2%,"$885,416",97.8%
321,The Celestine Prophecy,"$903,680","$617,236",68.3%,"$286,444",31.7%
322,Looking for Comedy in the Muslim World,"$902,312","$888,975",98.5%,"$13,337",1.5%
323,Death of a President,"$869,352","$519,086",59.7%,"$350,266",40.3%
324,Down in the Valley,"$852,872","$568,932",66.7%,"$283,940",33.3%
325,American Masters: Sketches of Frank Gehry,"$844,333","$439,309",52%,"$405,024",48%
326,Esma's Secret - Grbavica,"$820,170","$43,460",5.3%,"$776,710",94.7%
327,The Groomsmen,"$818,970","$128,911",15.7%,"$690,059",84.3%
328,Army of Shadows,"$810,532","$741,766",91.5%,"$68,766",8.5%
329,13 Tzameti,"$795,223","$121,390",15.3%,"$673,833",84.7%
330,Chronicle of an Escape,"$763,742","$2,370",0.3%,"$761,372",99.7%
331,Malamaal Weekly,"$754,009","$204,612",27.1%,"$549,397",72.9%
332,Another Gay Movie,"$745,327","$654,132",87.8%,"$91,195",12.2%
333,The King,"$740,210","$282,183",38.1%,"$458,027",61.9%
334,Deep Water,"$727,202","$271,143",37.3%,"$456,059",62.7%
335,Time,"$721,712","$16,070",2.2%,"$705,642",97.8%
336,49 Up,"$696,975","$241,772",34.7%,"$455,203",65.3%
337,Feast,"$688,854","$56,131",8.1%,"$632,723",91.9%
338,My First Wedding,"$666,154","$14,982",2.2%,"$651,172",97.8%
339,The Oh in Ohio,"$648,183","$418,689",64.6%,"$229,494",35.4%
340,Sleeping Dogs Lie,"$638,627","$15,745",2.5%,"$622,882",97.5%
341,Wassup Rockers,"$634,074","$221,574",34.9%,"$412,500",65.1%
342,Summer of '04,"$632,017","$20,474",3.2%,"$611,543",96.8%
343,Sherrybaby,"$622,806","$199,176",32%,"$423,630",68%
344,Klimt,"$584,991","$97,656",16.7%,"$487,335",83.3%
345,Viva Pedro!,"$579,539","$579,539",100%,-,-
346,Wondrous Oblivion 2006 Re-release,"$571,562","$88,560",15.5%,"$483,002",84.5%
347,Tideland,"$566,611","$66,453",11.7%,"$500,158",88.3%
348,12:08 East of Bucharest,"$523,703","$91,881",17.5%,"$431,822",82.5%
349,Shadowboxer,"$519,802","$370,627",71.3%,"$149,175",28.7%
350,Home of the Brave,"$499,620","$51,708",10.3%,"$447,912",89.7%
351,Color Me Kubrick,"$497,009","$71,190",14.3%,"$425,819",85.7%
352,Idiocracy,"$495,303","$444,093",89.7%,"$51,210",10.3%
353,Beyond the Gates 2006 Re-release,"$491,155","$40,848",8.3%,"$450,307",91.7%
354,Dynamite Warrior,"$483,737","$52,292",10.8%,"$431,445",89.2%
355,Beer League,"$472,185","$472,185",100%,-,-
356,Church Ball,"$464,991","$464,991",100%,-,-
357,The Second Chance,"$463,542","$463,542",100%,-,-
358,Romeo & Juliet: Sealed with a Kiss,"$463,002","$463,002",100%,-,-
359,London to Brighton,"$449,681","$6,700",1.5%,"$442,981",98.5%
360,The Heart of the Game,"$446,446","$445,374",99.8%,"$1,072",0.2%
361,As You Like It,"$442,515",-,-,"$442,515",100%
362,Offside,"$437,055","$180,530",41.3%,"$256,525",58.7%
363,The Devil and Daniel Johnston,"$432,339","$334,450",77.4%,"$97,889",22.6%
364,When Do We Eat?,"$431,513","$431,513",100%,-,-
365,Preaching to the Choir,"$405,191","$405,191",100%,-,-
366,Marilyn Hotchkiss' Ballroom Dancing & Charm School,"$404,870","$349,132",86.2%,"$55,738",13.8%
367,Flanders,"$402,252","$22,788",5.7%,"$379,464",94.3%
368,Times and Winds,"$387,396","$6,176",1.6%,"$381,220",98.4%
369,The Quiet,"$381,420","$381,420",100%,-,-
370,American Hardcore,"$376,057","$279,665",74.4%,"$96,392",25.6%
371,Five Fingers,"$352,089",-,-,"$352,089",100%
372,This Film Is Not Yet Rated,"$339,609","$306,845",90.4%,"$32,764",9.6%
373,Zinda,"$332,491","$332,491",100%,-,-
374,Shaadi Se Pehle,"$331,676","$111,678",33.7%,"$219,998",66.3%
375,Cheech,"$329,972","$329,972",100%,-,-
376,Deliver Us from Evil,"$327,205","$201,275",61.5%,"$125,930",38.5%
377,Steve Harvey: Don't Trip... He Ain't Through with Me Yet,"$319,021","$319,021",100%,-,-
378,Poison Friends,"$316,184","$13,665",4.3%,"$302,519",95.7%
379,Adam & Steve,"$309,404","$309,404",100%,-,-
380,Belle toujours,"$303,867","$10,921",3.6%,"$292,946",96.4%
381,Old Joy,"$301,047","$255,923",85%,"$45,124",15%
382,The Wedding Curse,"$300,454","$300,454",100%,-,-
383,Taxi No. 9 2 11: Nau Do Gyarah,"$292,794","$292,794",100%,-,-
384,Only Human 2006 Re-release,"$284,961","$284,961",100%,-,-
385,Dirty,"$274,245","$274,245",100%,-,-
386,The Rules of the Game,"$273,641","$273,641",100%,-,-
387,Fierce People,"$269,755","$85,410",31.7%,"$184,345",68.3%
388,Bubble,"$261,966","$145,626",55.6%,"$116,340",44.4%
389,Requiem 2006 Re-release,"$260,877","$9,600",3.7%,"$251,277",96.3%
390,The War Tapes,"$254,190","$254,190",100%,-,-
